# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
396,NOVIRETA - CUE,NOVIRETA - CUE,14,1
397,NOVIRETA,NOVIRETA,14,1
398,OCULTO,OCULTO,14,1
399,ORTELLADO - CUE,ORTELLADO - CUE,14,1
400,ORUE - CUE,ORUE - CUE,14,1
401,OVANDO - CUE,OVANDO - CUE,14,1
402,PANAMBI,PANAMBI,14,1
403,PARAJE CARABY,PARAJE CARABY,14,1
404,PARAJE GUAICA,PARAJE GUAICA,14,1
405,PARAJE YBU,PARAJE YBU,14,1
406,PEREZ - CUE,PEREZ - CUE,14,1
407,PETY DY,PETY DY,14,1
408,PINDOSA,PINDOSA,14,1
409,PINDOTI,PINDOTI,14,1
410,PINDURA,PINDURA,14,1
411,POTRERO,POTRERO,14,1
412,POTRERO OSUNA,POTRERO OSUNA,14,1
413,POTRERO POI,POTRERO POI,14,1
414,POTRERO YBATE,POTRERO YBATE,14,1
415,PUESTO LAUREL,PUESTO LAUREL,14,1
416,QUINONEZ - CUE,QUIÑONEZ - CUE,14,1
417,RIO CORRIENTES,RIO CORRIENTES,14,1
418,RUA,RUA,14,1
419,SAMUHU,SAMUHU,14,1
420,SAN ANTONIO,SAN ANTONIO,14,1
421,SAN CARLOS,SAN CARLOS,14,1
422,SAN ISIDRO,SAN ISIDRO,14,1
423,SAN JOAQUIN,SAN JOAQUIN,14,1
424,SAN JUAN,SAN JUAN,14,1
425,SAN RAFAEL,SAN RAFAEL,14,1
426,SANTA ANA,SANTA ANA,14,1
427,SANTA BARBARA,SANTA BARBARA,14,1
428,SANTA ROSA,SANTA ROSA,14,1
429,SANTA TERESA,SANTA TERESA,14,1
430,SIRA TY,SIRA TY,14,1
431,SOMURIO,SOMURIO,14,1
432,SYRATY,SYRATY,14,1
433,TABAI,TABAI,14,1
434,TACUAPI-I,TACUAPI-I,14,1
435,TACUARAS,TACUARAS,14,1
436,TACURUTY,TACURUTY,14,1
437,TANARA,TANARA,14,1
438,TOBAY,TOBAY,14,1
439,TORIN - CUE,TORIN - CUE,14,1
440,TORO PIRU,TORO PIRU,14,1
441,VACA JHU,VACA JHU,14,1
442,VACA RETA,VACA RETA,14,1
443,VILLAR - CUE,VILLAR - CUE,14,1
444,YACAREY,YACAREY,14,1
445,YAGUARETA,YAGUARETA,14,1
446,YATAITY,YATAITY,14,1
447,YBAREG,YBAREG,14,1
448,YBARUNDY,YBARUNDY,14,1
449,YBYRAYU,YBYRAYU,14,1
450,YBYRA,YBYRA,14,1
451,YBU,YBU,14,1
452,YCUA RUGUA,YCUA RUGUA,14,1
453,YERBAL,YERBAL,14,1
454,YERBAL LAUREL,YERBAL LAUREL,14,1
455,YERBAL PINDO,YERBAL PINDO,14,1
456,YERBAL POTRERITO,YERBAL POTRERITO,14,1
457,YSATY TUYA,YSATY TUYA,14,1
458,YTAPEBY,YTAPEBY,14,1
459,YTAPY,YTAPY,14,1
460,ZANJA JHU,ZANJA JHU,14,1
461,ZONA A,ZONA A,14,1
462,ZONA YACARE,ZONA YACARE,14,1
463,NANDY PA,ÑANDY PA,14,1
464,NATIURYMI,ÑATIURYMI,14,1
465,NU PYHAJHU,ÑU PYHAJHU,14,1
466,NUMI,ÑUMI,14,1
467,NU POI,ÑU POI,14,1
468,AGUARAY GUAZU,AGUARAY GUAZU,15,1
469,ASTIGARRAGA - CUE,ASTIGARRAGA - CUE,15,1
470,ANARETA,AÑARETA,15,1
471,CAPIITINDY,CAPIITINDY,15,1
472,CARAI  TUYA,CARAI  TUYA,15,1
473,CEDRON - CUE,CEDRON - CUE,15,1
474,COL. MAYOR HERMOSA,COL. MAYOR HERMOSA,15,1
475,COL. SUSANA,COL. SUSANA,15,1
476,COL. YBYPE,COL. YBYPE,15,1
477,COSTA PUCU,COSTA PUCU,15,1
478,ISLA SALE,ISLA SALE,15,1
479,ITANARA,ITANARA,15,1
480,LIMA - TUYA,LIMA - TUYA,15,1
481,MARTINEZ - CUE,MARTINEZ - CUE,15,1
482,MBOCAYATY,MBOCAYATY,15,1
483,ORQUETA,ORQUETA,15,1
484,REDUCCION - CUE,REDUCCION - CUE,15,1
485,RINCONADA,RINCONADA,15,1
486,ROSA DE AGUARA,ROSA DE AGUARA,15,1
487,SAN JOSE,SAN JOSE,15,1
488,SANTA MARIA,SANTA MARIA,15,1
489,SANTA ROSA,SANTA ROSA,15,1
490,SEP. CUAPE CUAPUCU,SEP. CUAPE CUAPUCU,15,1
491,SEPULTURA,SEPULTURA,15,1
492,YUQUERY,YUQUERY,15,1
